TimeL,ChargeL,ChannelIDL,TimeR,ChargeR,ChannelIDR,DOI,NCD,delta_t,n1,n2,ChargeL_zscore,ChargeR_zscore
1082535881656501.0,23.480938,95.0,1082535881657902.0,16.925716,88.0,15.0,0.1622312503282255,-1401.0,10.929951,5.7344346,0.9411666904237179,0.1862119358433978
1248531860147071.0,26.218555,78.0,1248531860148182.0,21.782871,73.0,15.0,0.0924073380653316,-1111.0,-6.668581,5.537398,0.8555656755747645,-0.17504397416074627
1540194063213169.0,26.117996,102.0,1540194063213984.0,23.723934,97.0,20.0,0.0480330918164686,-815.0,1.0844908,2.8020425,-0.7587343506733014,1.348743818695674
1299056948253541.0,16.549503,95.0,1299056948253584.0,23.877022,88.0,2.0,-0.1812552278485474,-43.0,9.799384,-2.2731814,1.8113817576567857,-1.3167306257215599
365863607679556.0,18.521763,95.0,365863607679507.0,24.961967,88.0,5.0,-0.1481060617384939,49.0,11.963932,-1.6079074,1.6254920075389085,-0.9771425180011514
561807147101304.0,27.609657,103.0,561807147102564.0,15.601383,96.0,25.0,0.2778982871044066,-1260.0,5.700504,8.239021,-0.04551412298054459,-0.4058001078231606
1626613382829235.0,30.769051,86.0,1626613382831410.0,17.224735,81.0,28.0,0.2822097844083399,-2175.0,7.7657714,-3.1782236,1.198687249432731,-0.8794080028882688
720514110867855.0,24.43169,95.0,720514110868788.0,18.244781,88.0,20.0,0.1449723666232852,-933.0,11.071045,5.327587,0.28390830033020853,0.25263172423868213
506121867197091.0,23.423153,95.0,506121867197746.0,18.142651,88.0,20.0,0.1270395732030108,-655.0,10.69394,4.9933043,1.3381339011193534,-1.2093859167244099
680956018652556.0,32.067329,94.0,680956018654054.0,17.93,89.0,28.0,0.2827616851292196,-1498.0,13.810205,-2.8407602,-1.2347818512236328,0.5331216664499862
1335739498541678.0,27.914581,103.0,1335739498542533.0,15.008678,96.0,25.0,0.30067388405899,-855.0,5.403257,8.627527,-1.3855467067687723,0.977978562719751
1735377971957088.0,19.53458,79.0,1735377971957255.0,27.47718,72.0,2.0,-0.1689492161110327,-167.0,-3.4750066,1.2645968,1.6785423970778635,-0.7689118771753237
1012611107336992.0,19.923603,102.0,1012611107337204.0,28.30415,97.0,2.0,-0.1737702148387464,-212.0,2.8873234,13.57038,-1.1487457343934084,1.3631734473243298
601661323637596.0,18.310108,95.0,601661323638058.0,24.772881,88.0,2.0,-0.1500075354567437,-462.0,11.628357,-1.751928,0.31901022838305365,-1.6668765110662576
180624530457761.0,24.728882,87.0,180624530459021.0,14.907967,80.0,25.0,0.2477723443657188,-1260.0,1.2925602,5.451384,-0.5461029905023375,0.8622022594034477
527995254080426.0,18.210606,95.0,527995254080507.0,24.014027,88.0,5.0,-0.1374415971833313,-81.0,10.932542,-1.2522082,-0.4232051044850437,0.7168456201456552
1744155964646155.0,30.828587,95.0,1744155964648105.0,15.994659,88.0,28.0,0.3168069125322921,-1950.0,11.869566,11.330424,-0.8147615545214745,-0.1403983665508158
1779134688625102.0,24.530937,86.0,1779134688626602.0,19.959908,81.0,15.0,0.1027408897268641,-1500.0,9.023223,4.681898,1.8387298352626529,-0.9638189944318277
863593273559280.0,26.718605,87.0,863593273560822.0,13.914337,80.0,25.0,0.3151203769591678,-1542.0,-0.6616505,6.104782,-1.2394541499355067,0.028575371701739318
1742960902688817.0,27.818424,103.0,1742960902689930.0,17.671394,96.0,20.0,0.2230615651177149,-1113.0,6.7013865,7.216594,-1.163553587378976,0.6774756261433622
976210182233592.0,27.786797,78.0,976210182234729.0,21.653706,73.0,15.0,0.1240499312881181,-1137.0,-6.62532,5.2039165,0.9125317305658206,-1.2866660264814467
1672866491936259.0,19.680927,103.0,1672866491936767.0,23.186695,96.0,10.0,-0.0817812567256471,-508.0,7.4175262,0.5660069,-1.5578463342140962,0.9562115235125459
627455808822671.0,18.80814,95.0,627455808823134.0,25.674171,88.0,5.0,-0.1543541881176092,-463.0,13.027342,-1.4354349,-1.4171981044921873,0.38585987158024243
1079979291403701.0,20.375874,95.0,1079979291404572.0,20.373802,88.0,10.0,5.084703004751001e-05,-871.0,9.3009815,1.2267997,0.9340808880883549,-1.3157595215418842
891744711648120.0,24.983143,79.0,891744711648475.0,18.12001,72.0,20.0,0.1592257763602583,-355.0,0.540434,6.2906094,-1.349436775634027,1.38381086103255
127854736934817.0,22.084927,78.0,127854736935350.0,24.754005,73.0,5.0,-0.056984177179787,-533.0,-3.624795,12.469994,1.1035934904877516,-1.0248087832451371
849202861434027.0,21.441051,102.0,849202861434551.0,25.069389,97.0,2.0,-0.0780112594075652,-524.0,1.3734242,9.886891,1.711319406655378,-1.3602502052348147
628582740001426.0,25.900059,94.0,628582740002342.0,21.443459,89.0,15.0,0.0941332665646012,-916.0,16.74084,4.676105,0.44269478080152,0.16183670541705733
346207367491963.0,27.044083,78.0,346207367493272.0,21.570663,73.0,15.0,0.1125876498459953,-1309.0,-6.667134,5.336073,1.224103867953523,-1.5351591492251941
1304241040336852.0,30.920116,95.0,1304241040338292.0,15.439293,88.0,28.0,0.3339305511854131,-1440.0,11.850861,11.492785,-1.2522258064101137,0.7200791973013363
1609946357752475.0,31.819576,102.0,1609946357754164.0,19.118786,97.0,28.0,0.2493364431310139,-1689.0,3.3122046,-5.85176,-0.9130045028645394,1.157221389364681
1551840391288589.0,23.269329,78.0,1551840391289187.0,25.952744,73.0,5.0,-0.0545164971008027,-598.0,-3.8470726,11.626675,-0.7968274786577149,0.9253133985548407
216829440400715.0,19.281216,102.0,216829440400747.0,27.120586,97.0,5.0,-0.1689453784575003,-32.0,3.1128213,13.3050585,-1.522982147499045,1.184421005736289
1775853006522361.0,27.941219,78.0,1775853006523555.0,21.248688,73.0,15.0,0.1360549634704533,-1194.0,-6.6267166,4.600857,-1.4690403541330312,0.9311970526441087
97788002185373.0,29.287384,94.0,97788002186871.0,16.955742,89.0,25.0,0.266669731626707,-1498.0,13.815907,-0.5179916,0.19346286405985344,-0.9684428551095067
1791928905094999.0,27.492519,87.0,1791928905096397.0,15.017796,80.0,25.0,0.2934516716707462,-1398.0,-0.3707304,5.0831447,-0.9962652040984541,1.3113991600860297
1584141258467486.0,24.639442,102.0,1584141258468541.0,21.234158,97.0,15.0,0.074231889365561,-1055.0,3.4705324,1.3317871,0.9616964877940742,-0.3238284758497152
883861210823079.0,27.429516,86.0,883861210824441.0,21.013752,81.0,20.0,0.1324387116079782,-1362.0,10.609972,2.8921237,1.6048872535047245,-0.8612086599589491
920704039882121.0,28.462009,87.0,920704039883773.0,14.017113,80.0,28.0,0.3400469529478505,-1652.0,-1.133176,6.291906,-0.7174842095312768,0.8240662829884666
1234491018682366.0,19.766056,102.0,1234491018682960.0,23.457134,97.0,10.0,-0.0853957794415451,-594.0,2.00001,10.1676445,0.6916245994738245,0.18094271296535766
150084095190506.0,15.356091,87.0,150084095190909.0,23.257385,80.0,2.0,-0.2046252971371963,-403.0,3.431334,-1.506115,1.4199620972223546,-1.769628290374863
323273997910606.0,29.507298,78.0,323273997911869.0,18.605236,73.0,25.0,0.2265950490157096,-1263.0,-5.501306,0.20642532,-0.8540340511592993,0.3199929746157216
1171853656505287.0,28.002712,79.0,1171853656506779.0,15.386986,72.0,25.0,0.2907539480915493,-1492.0,1.2185168,9.148418,-0.5972067781958496,0.4235338163450385
1420217091002744.0,19.478477,86.0,1420217091003368.0,23.944965,81.0,5.0,-0.1028589120134695,-624.0,6.2903514,11.828641,-1.2630183041044845,0.6713767439213723
1672522875566582.0,22.113155,87.0,1672522875567763.0,17.5681,80.0,15.0,0.1145390940886319,-1181.0,4.4491916,4.4955115,1.0056884780802566,-1.4315026384844296
1076288656569723.0,18.367008,86.0,1076288656570332.0,25.855324,81.0,5.0,-0.1693333585393009,-609.0,6.6132836,14.07776,0.9325365789100496,0.04891668562856553
1383549373579538.0,30.842201,102.0,1383549373581050.0,18.954723,97.0,28.0,0.238719122490377,-1512.0,3.759348,-5.363238,0.7604247216933023,-0.3900346471012954
1166157422393874.0,23.440151,79.0,1166157422394745.0,19.295921,72.0,15.0,0.0969726464332051,-871.0,-0.2304707,2.863406,-0.7539012863221757,0.7706906726668926
1131993517300018.0,30.113007,78.0,1131993517301304.0,22.996571,73.0,20.0,0.1339953407274296,-1286.0,-6.7861695,3.9680576,-1.2201488971203285,1.2822724786518331
895235393098872.0,27.726772,79.0,895235393099917.0,17.495979,72.0,25.0,0.2262311065507713,-1045.0,0.054265022,8.585925,-1.2074002071656147,0.5227849165188818
1456705480536907.0,27.581753,103.0,1456705480538095.0,15.536728,96.0,25.0,0.2793471551096616,-1188.0,5.700281,8.24632,0.8610602261746791,-0.46872308345732383
1241122716373501.0,30.344006,78.0,1241122716374698.0,20.425533,73.0,25.0,0.1953626760329653,-1197.0,-6.2853837,2.4343543,0.10572066289471474,0.24269933255093865
1016921369870555.0,26.40152,86.0,1016921369871686.0,18.676022,81.0,20.0,0.1713824147731924,-1131.0,8.856567,2.5178006,-0.6477820835524816,-0.3328622578635652
1540288060197609.0,19.479664,79.0,1540288060197925.0,28.058804,72.0,2.0,-0.1804673217487782,-316.0,-3.5923293,1.3332539,1.4848321683673829,-1.4220116577874482
184617056916834.0,20.59005,103.0,184617056917360.0,21.437469,96.0,10.0,-0.0201634314887823,-526.0,9.123588,1.6882951,1.0390535315187701,-1.338572737016975
860432485179453.0,19.176041,86.0,860432485180179.0,25.158543,81.0,5.0,-0.1349398474112219,-726.0,6.6406264,13.402324,0.8619074636173285,0.3133325016222745
230479409851013.0,26.428616,87.0,230479409852145.0,12.862476,80.0,28.0,0.345272663839427,-1132.0,-0.3375302,6.976161,0.5956883982936473,-1.2357497519938028
917028267744808.0,27.135143,102.0,917028267745376.0,22.470341,97.0,20.0,0.0940380301500535,-568.0,1.6963068,0.93830395,0.7355386045441059,-1.1744403429594443
90256536011079.0,27.732487,94.0,90256536012150.0,21.512047,89.0,15.0,0.1263173695582133,-1071.0,16.728333,2.9840572,-1.3756390510386345,0.8034446569726169
898144996065230.0,27.945332,86.0,898144996066883.0,19.791073,81.0,20.0,0.1708184560609455,-1653.0,9.938464,1.4503953,0.13923865821295603,-0.28287423524773403
114149359261391.0,18.693661,87.0,114149359261821.0,20.165962,80.0,10.0,-0.0378876809998903,-430.0,4.0257516,2.891036,0.6673141595979918,-0.11246123940705277
832905380061929.0,30.202885,87.0,832905380063579.0,14.817566,80.0,28.0,0.3417406680355113,-1650.0,-0.9452496,5.8039722,0.6273832052634533,-1.512784767158437
1540014543814482.0,17.163284,79.0,1540014543814661.0,25.169449,72.0,2.0,-0.189124689870602,-179.0,-3.0002177,-2.3209703,-1.5234000876852312,1.0674673916460857
203502015277484.0,25.237614,95.0,203502015278353.0,18.155708,88.0,20.0,0.1632026697564201,-869.0,11.216504,5.721706,0.7259302707105965,-1.7584866903306757
