TimeL,ChargeL,ChannelIDL,TimeR,ChargeR,ChannelIDR,DOI,NCD,delta_t
1157114036004472.0,30.741241,86.0,1157114036006173.0,18.212185,81.0,25.0,0.2559382871384731,-1701.0
1398555117384790.0,25.385689,78.0,1398555117385454.0,23.64526,73.0,10.0,0.0354965391349043,-664.0
242566659445137.0,23.103813,78.0,242566659445823.0,23.626625,73.0,10.0,-0.0111878258021035,-686.0
61981963074783.0,21.73671,103.0,61981963074956.0,23.084305,96.0,10.0,-0.0300661419648796,-173.0
1516517648081361.0,17.630901,87.0,1516517648081767.0,24.075943,80.0,5.0,-0.1545319995922011,-406.0
237077586144789.0,25.214043,103.0,237077586145567.0,18.002106,96.0,15.0,0.1668806028968476,-778.0
300443324422720.0,26.458134,87.0,300443324424662.0,13.593452,80.0,25.0,0.3212028107950582,-1942.0
288720731704064.0,25.236362,102.0,288720731705174.0,19.756153,97.0,25.0,0.1218026820683395,-1110.0
1379723806141676.0,28.663712,94.0,1379723806142586.0,20.680565,89.0,20.0,0.161784658431615,-910.0
1434543810301289.0,17.008076,87.0,1434543810301870.0,25.024937,80.0,2.0,-0.1907277263231166,-581.0
562938840232946.0,19.826889,86.0,562938840233858.0,21.462673,81.0,10.0,-0.0396173735144005,-912.0
600517054368438.0,19.049885,95.0,600517054368462.0,24.481369,88.0,5.0,-0.1247720545794522,-24.0
398571942014053.0,26.086006,103.0,398571942014988.0,18.022015,96.0,15.0,0.1828236864220229,-935.0
1394797309474843.0,28.043594,78.0,1394797309476142.0,20.556683,73.0,15.0,0.1540507886405668,-1299.0
1211504280293986.0,18.095509,87.0,1211504280294715.0,19.168957,80.0,10.0,-0.0288062091108456,-729.0
1280935358527009.0,29.793606,102.0,1280935358528591.0,19.224453,97.0,28.0,0.2156175339378493,-1582.0
1712936768215823.0,25.708591,95.0,1712936768217036.0,20.655632,88.0,15.0,0.1089840112277951,-1213.0
523822335223258.0,23.442974,87.0,523822335224162.0,16.633293,80.0,20.0,0.1699180465086731,-904.0
537635283155782.0,29.854115,78.0,537635283157112.0,23.670647,73.0,20.0,0.1155253712291145,-1330.0
445267301220916.0,15.131878,87.0,445267301221462.0,24.232697,80.0,2.0,-0.2311931222425239,-546.0
1758263049325927.0,21.434353,78.0,1758263049326519.0,21.831665,73.0,10.0,-0.0091830036219186,-592.0
1730718178017609.0,20.125813,79.0,1730718178017599.0,27.200188,72.0,5.0,-0.1494817827519379,10.0
879491166762619.0,26.622654,94.0,879491166763455.0,22.610962,89.0,15.0,0.0814827820081303,-836.0
34716226078913.0,27.386978,103.0,34716226080261.0,14.797234,96.0,25.0,0.2984468217635545,-1348.0
1759390613513807.0,20.080635,87.0,1759390613514494.0,18.957306,80.0,10.0,0.028775313739011,-687.0
1708884911332651.0,21.502586,79.0,1708884911333136.0,24.91127,72.0,10.0,-0.0734410862135651,-485.0
575563746829548.0,24.787815,95.0,575563746830537.0,18.539204,88.0,20.0,0.1442197304181023,-989.0
737845306127511.0,30.023602,86.0,737845306129334.0,18.251064,81.0,25.0,0.2438657576626216,-1823.0
1115113850763993.0,20.674503,79.0,1115113850764528.0,23.355122,72.0,10.0,-0.0608821674043328,-535.0
348115955003599.0,19.158115,102.0,348115955003908.0,25.203434,97.0,5.0,-0.1362738483275235,-309.0
1564641849702461.0,29.888275,94.0,1564641849703278.0,21.34491,89.0,20.0,0.1667545166282362,-817.0
1454730233805853.0,27.24789,87.0,1454730233807317.0,15.685158,80.0,28.0,0.2693200818166928,-1464.0
78993891428657.0,21.236969,94.0,78993891428855.0,21.287018,89.0,10.0,-0.001176959253609,-198.0
674698273192172.0,28.511875,103.0,674698273193164.0,15.741409,96.0,25.0,0.2885766850659038,-992.0
1780922482101578.0,20.915684,102.0,1780922482101840.0,29.291641,97.0,5.0,-0.1668273902264261,-262.0
875565101112729.0,21.583725,94.0,875565101112861.0,26.593208,89.0,2.0,-0.1039809445736199,-132.0
501107985140395.0,18.172897,86.0,501107985140984.0,23.735626,81.0,5.0,-0.1327350286241297,-589.0
422173896586002.0,27.386852,95.0,422173896587281.0,16.594036,88.0,25.0,0.245397864636112,-1279.0
1175846328684296.0,24.690529,86.0,1175846328685621.0,20.929272,81.0,15.0,0.0824479045842396,-1325.0
1075704522905828.0,31.022366,103.0,1075704522906999.0,15.053181,96.0,28.0,0.3465869868023488,-1171.0
1329176520699303.0,26.751236,79.0,1329176520700411.0,21.83297,72.0,15.0,0.1012317871367497,-1108.0
616119514510540.0,24.428104,87.0,616119514511405.0,16.022682,80.0,20.0,0.20779378675114,-865.0
1494356606060445.0,28.253593,86.0,1494356606062193.0,14.355026,81.0,28.0,0.3261914449750178,-1748.0
1279920983627382.0,20.433491,95.0,1279920983627894.0,24.06572,88.0,10.0,-0.0816245708266602,-512.0
